Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
InputForm,Chrome 76.0.3809.100,,,2019-08-26 03:59:23,2019-08-26 04:00:20,56.834s,INCOMPLETE
,,,,,,,
Test Cases/Start,Chrome 76.0.3809.100,,,2019-08-26 03:59:43,2019-08-26 03:59:46,2.497s,PASSED
"comment(""Click on link to start practising."")",Chrome 76.0.3809.100,,,2019-08-26 03:59:44,2019-08-26 03:59:44,0.057s,PASSED
"scrollToElement(findTestObject(""linkStartPractising""), 0)",Chrome 76.0.3809.100,,,2019-08-26 03:59:44,2019-08-26 03:59:45,1.335s,PASSED
"click(findTestObject(""linkStartPractising""))",Chrome 76.0.3809.100,,,2019-08-26 03:59:45,2019-08-26 03:59:46,0.490s,PASSED
,,,,,,,
Test Cases/InputFormPage/TesrCaseInputForm,Chrome 76.0.3809.100,,,2019-08-26 03:59:46,2019-08-26 04:00:20,34.427s,FAILED
"click(findTestObject(""InputForms/lblMessage""))",Chrome 76.0.3809.100,,,2019-08-26 03:59:46,2019-08-26 04:00:20,33.734s,FAILED
